,0
AEURUSDT,2023-12-04 10:00:00
JTOUSDT,2023-12-07 16:30:00
1000SATSUSDT,2023-12-12 12:00:00
BONKUSDT,2023-12-15 08:00:00
ACEUSDT,2023-12-18 06:00:00
NFPUSDT,2023-12-27 10:00:00
AIUSDT,2024-01-04 10:00:00
XAIUSDT,2024-01-09 10:00:00
MANTAUSDT,2024-01-18 10:00:00
ALTUSDT,2024-01-25 10:00:00
JUPUSDT,2024-01-31 16:00:00
PYTHUSDT,2024-02-02 12:00:00
RONINUSDT,2024-02-05 13:30:00
DYMUSDT,2024-02-06 17:00:00
PIXELUSDT,2024-02-19 10:00:00
STRKUSDT,2024-02-20 13:00:00
PORTALUSDT,2024-02-29 10:00:00
PDAUSDT,2024-03-01 08:00:00
AXLUSDT,2024-03-01 11:30:00
WIFUSDT,2024-03-05 14:00:00
METISUSDT,2024-03-11 12:00:00
