,Unnamed: 0,unix_s,low,high,open,close,volume,UTC_datetime,Beijing_datetime
132,132,1674086400,20658.19,21189.28,20677.61,21081.5,1567.9476086,2023-01-19,2023-01-19 08:00:00
131,131,1674172800,20869.06,22750.0,21083.64,22671.99,3254.81252495,2023-01-20,2023-01-20 08:00:00
130,130,1674259200,22424.89,23360.02,22669.24,22776.83,2123.08990653,2023-01-21,2023-01-21 08:00:00
129,129,1674345600,22301.01,23078.01,22784.95,22706.16,1988.16225536,2023-01-22,2023-01-22 08:00:00
128,128,1674432000,22493.15,23180.35,22713.15,22919.47,2318.24682445,2023-01-23,2023-01-23 08:00:00
127,127,1674518400,22458.79,23159.24,22914.14,22621.91,3389.64585686,2023-01-24,2023-01-24 08:00:00
126,126,1674604800,22326.94,23816.57,22620.67,23055.33,3261.29326561,2023-01-25,2023-01-25 08:00:00
125,125,1674691200,22855.36,23275.72,23063.67,23004.1,2045.15272388,2023-01-26,2023-01-26 08:00:00
124,124,1674777600,22543.37,23505.54,23010.15,23066.36,2194.49574446,2023-01-27,2023-01-27 08:00:00
123,123,1674864000,22881.38,23183.49,23064.69,23023.46,370.3254487,2023-01-28,2023-01-28 08:00:00
122,122,1674950400,22971.39,23957.61,23024.1,23746.25,1110.55117327,2023-01-29,2023-01-29 08:00:00
121,121,1675036800,22461.24,23800.12,23742.05,22824.86,2449.06679748,2023-01-30,2023-01-30 08:00:00
120,120,1675123200,22721.07,23309.84,22828.2,23126.88,1706.20477938,2023-01-31,2023-01-31 08:00:00
119,119,1675209600,22774.0,23819.61,23128.07,23735.04,1563.52926218,2023-02-01,2023-02-01 08:00:00
118,118,1675296000,23366.01,24260.38,23739.91,23489.15,957.9118796,2023-02-02,2023-02-02 08:00:00
117,117,1675382400,23212.9,23713.81,23492.22,23427.2,808.56144025,2023-02-03,2023-02-03 08:00:00
116,116,1675468800,23260.07,23584.93,23421.28,23330.87,293.97742832,2023-02-04,2023-02-04 08:00:00
115,115,1675555200,22755.08,23427.75,23319.83,22933.42,573.09033298,2023-02-05,2023-02-05 08:00:00
114,114,1675641600,22632.18,23155.96,22921.81,22761.57,1072.3271461,2023-02-06,2023-02-06 08:00:00
113,113,1675728000,22749.23,23350.36,22762.52,23243.79,856.99918101,2023-02-07,2023-02-07 08:00:00
112,112,1675814400,22671.07,23446.66,23244.26,22960.46,554.76247702,2023-02-08,2023-02-08 08:00:00
111,111,1675900800,21696.52,23003.63,22964.48,21802.39,1592.96277795,2023-02-09,2023-02-09 08:00:00
110,110,1675987200,21452.35,21936.09,21792.51,21629.41,820.11496891,2023-02-10,2023-02-10 08:00:00
109,109,1676073600,21602.61,21901.14,21630.44,21863.86,246.81803919,2023-02-11,2023-02-11 08:00:00
108,108,1676160000,21635.05,22090.35,21864.07,21783.82,535.1568302,2023-02-12,2023-02-12 08:00:00
107,107,1676246400,21351.62,21890.53,21787.79,21776.67,926.62488471,2023-02-13,2023-02-13 08:00:00
106,106,1676332800,21540.84,22316.82,21773.48,22201.64,982.15585519,2023-02-14,2023-02-14 08:00:00
105,105,1676419200,22050.43,24383.39,22195.48,24340.74,1631.88496066,2023-02-15,2023-02-15 08:00:00
104,104,1676505600,23511.87,25252.01,24344.38,23515.23,2142.96959224,2023-02-16,2023-02-16 08:00:00
103,103,1676592000,23350.0,25017.47,23517.02,24568.73,1892.42098881,2023-02-17,2023-02-17 08:00:00
102,102,1676678400,24437.7,24868.43,24566.76,24625.43,510.77720954,2023-02-18,2023-02-18 08:00:00
101,101,1676764800,24195.0,25185.56,24620.84,24272.97,997.16797334,2023-02-19,2023-02-19 08:00:00
100,100,1676851200,23836.0,25118.28,24273.87,24839.16,1210.49384963,2023-02-20,2023-02-20 08:00:00
99,99,1676937600,24153.36,25289.18,24840.34,24444.84,1029.54225458,2023-02-21,2023-02-21 08:00:00
98,98,1677024000,23580.44,24472.74,24445.85,24185.5,1047.95382347,2023-02-22,2023-02-22 08:00:00
