,归集成交id,成交价,成交量,归集首个id,归集末个id,成交时间,是否主卖,最优戳和,UTC时间,北京时间
,a,p,q,f,l,T,m,M,datetime_utc,datetime_bj
136,2783515950,43903.74,0.26565,3314658120,3314658123,1.70222E+12,FALSE,TRUE,00:13.0,2023-12-11 00:00:12.958000+08:00
137,2783515951,43903.74,0.47085,3314658124,3314658126,1.70222E+12,FALSE,TRUE,00:13.0,2023-12-11 00:00:12.978000+08:00
138,2783515952,43903.74,0.26564,3314658127,3314658129,1.70222E+12,FALSE,TRUE,00:13.0,2023-12-11 00:00:12.982000+08:00
139,2783515953,43903.86,0.07968,3314658130,3314658130,1.70222E+12,FALSE,TRUE,00:13.0,2023-12-11 00:00:12.982000+08:00
140,2783515954,43903.86,0.03353,3314658131,3314658131,1.70222E+12,FALSE,TRUE,00:13.0,2023-12-11 00:00:12.983000+08:00
141,2783515955,43904.02,0.00216,3314658132,3314658132,1.70222E+12,FALSE,TRUE,00:13.0,2023-12-11 00:00:12.987000+08:00
142,2783515956,43904.16,0.00213,3314658133,3314658133,1.70222E+12,FALSE,TRUE,00:13.0,2023-12-11 00:00:12.987000+08:00
143,2783515957,43904.38,0.00123,3314658134,3314658134,1.70222E+12,TRUE,TRUE,00:13.0,2023-12-11 00:00:12.995000+08:00
144,2783515958,43904.38,0.00082,3314658135,3314658135,1.70222E+12,TRUE,TRUE,00:13.0,2023-12-11 00:00:13.003000+08:00
145,2783515959,43904.39,0.00012,3314658136,3314658136,1.70222E+12,FALSE,TRUE,00:13.1,2023-12-11 00:00:13.053000+08:00
146,2783515960,43904.39,0.00155,3314658137,3314658137,1.70222E+12,FALSE,TRUE,00:13.1,2023-12-11 00:00:13.123000+08:00
147,2783515961,43904.38,0.00021,3314658138,3314658138,1.70222E+12,TRUE,TRUE,00:13.2,2023-12-11 00:00:13.194000+08:00
148,2783515962,43904.39,0.00244,3314658139,3314658139,1.70222E+12,FALSE,TRUE,00:13.2,2023-12-11 00:00:13.205000+08:00
149,2783515963,43904.38,0.00297,3314658140,3314658141,1.70222E+12,TRUE,TRUE,00:13.2,2023-12-11 00:00:13.235000+08:00
150,2783515964,43904.39,0.00022,3314658142,3314658142,1.70222E+12,FALSE,TRUE,00:13.4,2023-12-11 00:00:13.432000+08:00
151,2783515965,43904.38,0.06344,3314658143,3314658143,1.70222E+12,TRUE,TRUE,00:13.5,2023-12-11 00:00:13.548000+08:00
152,2783515966,43904.38,0.01064,3314658144,3314658144,1.70222E+12,TRUE,TRUE,00:14.0,2023-12-11 00:00:13.984000+08:00
153,2783515967,43904.38,0.00043,3314658145,3314658145,1.70222E+12,TRUE,TRUE,00:14.1,2023-12-11 00:00:14.055000+08:00
154,2783515968,43904.38,0.00197,3314658146,3314658146,1.70222E+12,TRUE,TRUE,00:14.3,2023-12-11 00:00:14.310000+08:00
155,2783515969,43904.38,0.00683,3314658147,3314658147,1.70222E+12,TRUE,TRUE,00:14.9,2023-12-11 00:00:14.924000+08:00
156,2783515970,43904.39,0.22904,3314658148,3314658150,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.065000+08:00
157,2783515971,43904.52,0.00216,3314658151,3314658151,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.066000+08:00
158,2783515972,43904.57,0.00541,3314658152,3314658152,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.066000+08:00
159,2783515973,43904.64,0.00213,3314658153,3314658153,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.066000+08:00
160,2783515974,43905.02,0.00216,3314658154,3314658154,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.066000+08:00
161,2783515975,43905.12,0.00213,3314658155,3314658155,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.066000+08:00
162,2783515976,43905.39,0.035,3314658156,3314658156,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.066000+08:00
163,2783515977,43905.4,0.17093,3314658157,3314658161,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.066000+08:00
164,2783515978,43905.43,0.02023,3314658162,3314658162,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.066000+08:00
165,2783515979,43905.43,0.14667,3314658163,3314658163,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.069000+08:00
166,2783515980,43905.43,0.3331,3314658164,3314658164,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.069000+08:00
167,2783515981,43905.52,0.00216,3314658165,3314658165,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.069000+08:00
168,2783515982,43905.6,0.00213,3314658166,3314658166,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.069000+08:00
169,2783515983,43905.93,0.04538,3314658167,3314658167,1.70222E+12,TRUE,TRUE,00:15.1,2023-12-11 00:00:15.101000+08:00
170,2783515984,43905.94,0.00655,3314658168,3314658168,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.114000+08:00
171,2783515985,43905.94,0.22615,3314658169,3314658171,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
172,2783515986,43906.02,0.00216,3314658172,3314658172,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
173,2783515987,43906.08,0.00213,3314658173,3314658173,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
174,2783515988,43906.23,0.00541,3314658174,3314658174,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
175,2783515989,43906.45,0.00694,3314658175,3314658175,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
176,2783515990,43906.52,0.00216,3314658176,3314658176,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
177,2783515991,43906.56,0.00213,3314658177,3314658177,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
178,2783515992,43906.73,0.12985,3314658178,3314658178,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
179,2783515993,43907.02,0.00216,3314658179,3314658179,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
180,2783515994,43907.04,0.00213,3314658180,3314658180,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
181,2783515995,43907.06,0.00541,3314658181,3314658181,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
182,2783515996,43907.49,0.09108,3314658182,3314658182,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
183,2783515997,43907.52,0.00429,3314658183,3314658184,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
184,2783515998,43907.81,0.00541,3314658185,3314658185,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
185,2783515999,43907.89,0.00541,3314658186,3314658186,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
186,2783516000,43907.91,0.0002,3314658187,3314658187,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
187,2783516001,43908,0.00213,3314658188,3314658188,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
188,2783516002,43908.02,0.00216,3314658189,3314658189,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
189,2783516003,43908.14,0.00269,3314658190,3314658190,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.118000+08:00
190,2783516004,43908.48,0.00213,3314658191,3314658191,1.70222E+12,FALSE,TRUE,00:15.1,2023-12-11 00:00:15.130000+08:00
